city,date,aqi_category,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,aqi_lag_1,pm25_lag_1,aqi_lag_2,pm25_lag_2,aqi_lag_3,pm25_lag_3,pm25_roll_mean_3,aqi_roll_mean_3,pm25_roll_mean_7,aqi_roll_mean_7
Lahore,2024-09-09,5,3791.81,15.2,86.37,0.01,14.19,213.88,247.9,16.21,24.991499,93.06493,23.7915,0.0,977.3802,5.00128,300.25635,0.0,5.0,138.15958333333333,5.0,103.27625,5.0,82.91166666666668,108.11583333333334,5.0,105.8817261904762,5.0
Lahore,2024-09-10,5,1700.858695652174,6.630869565217391,32.01565217391305,77.17608695652174,12.038260869565217,108.36217391304348,125.2413043478261,13.526521739130436,28.243673739130436,83.13749969565218,24.911065086956523,0.2260869565217391,976.6786917391304,6.04681714347826,83.78752155652174,231.30434782608697,5.0,213.88,5.0,138.15958333333333,5.0,103.27625,151.77194444444444,5.0,123.2409523809524,5.0
Lahore,2024-09-11,5,3503.6395833333336,43.21208333333333,64.815,58.06375,14.193333333333333,159.82458333333332,185.95000000000002,20.27875,28.720666625000003,79.60793091666666,24.641499874999997,0.008333333333333333,976.44872,5.64098345,146.572207375,228.33333333333334,5.0,108.36217391304348,5.0,213.88,5.0,138.15958333333333,153.46725241545894,5.0,127.79120341614907,5.0
Lahore,2024-09-12,5,2619.10875,9.37875,63.826249999999995,91.29333333333334,23.064166666666665,171.465,207.62375,27.042083333333334,29.749833416666664,72.97615075,24.001916500000004,0.0,974.79455625,8.842267354166667,218.57170141666666,240.41666666666666,5.0,159.82458333333332,5.0,108.36217391304348,5.0,213.88,160.6889190821256,5.0,134.80763198757765,5.0
Lahore,2024-09-13,5,1584.3712500000001,5.78375,37.20666666666667,85.4875,15.4325,104.36416666666668,140.74125,19.247916666666665,29.029000333333332,75.57070954166666,24.014416541666666,0.0,974.5787904166667,8.7553904375,158.82305629166666,235.125,5.0,171.465,5.0,159.82458333333332,5.0,108.36217391304348,146.55058574879226,5.0,139.6970367494824,5.0
Lahore,2024-09-14,5,1586.5966666666666,4.41125,41.680416666666666,85.745,17.455833333333334,128.59416666666667,262.12875,17.955416666666668,28.03316679166667,76.64031404166667,23.341499833333334,0.0,976.83534,7.18212197375,151.22443229166666,233.5,5.0,104.36416666666668,5.0,171.465,5.0,159.82458333333332,145.21791666666667,5.0,142.76167960662525,5.0
Lahore,2024-09-15,5,1632.7691666666667,10.441666666666666,42.361666666666665,57.14625,15.808333333333332,129.89083333333335,253.42291666666665,23.0725,28.6498335,68.60494479166667,21.858166458333333,0.0,977.6969229166666,6.184723020833334,225.40198791666668,231.20833333333334,5.0,128.59416666666667,5.0,104.36416666666668,5.0,171.465,134.80777777777777,5.0,146.3785248447205,5.0
Lahore,2024-09-16,5,2168.4966666666664,16.75875,64.77458333333333,58.03041666666667,24.219583333333333,142.94208333333333,257.74708333333336,37.01625,28.401917,67.06722383333333,21.147749833333332,0.0,979.512455,5.045136225,202.96672112500002,238.625,5.0,129.89083333333335,5.0,128.59416666666667,5.0,104.36416666666668,120.94972222222223,5.0,145.1972748447205,5.0
Lahore,2024-09-17,5,2756.51625,21.845,65.41833333333334,65.8275,20.052083333333332,182.9908333333333,278.38708333333335,26.7675,29.276917041666668,68.42608783333334,22.31649979166667,0.0,980.3923987500001,4.5644182625,197.82589933333335,229.58333333333334,5.0,142.94208333333333,5.0,129.89083333333335,5.0,128.59416666666667,133.8090277777778,5.0,135.0632867494824,5.0
Lahore,2024-09-18,5,1935.12375,14.958333333333334,48.725,61.217083333333335,15.35875,134.28708333333333,202.91208333333336,32.50958333333333,28.418583666666667,72.749120125,22.537333083333333,0.0,980.1082029166668,5.378633633333333,141.862108625,223.83333333333334,5.0,182.9908333333333,5.0,142.94208333333333,5.0,129.89083333333335,151.94125,5.0,145.72452380952382,5.0
Lahore,2024-09-19,5,2734.263333333334,9.56375,78.24125,62.01291666666666,24.705,159.13916666666668,203.32833333333335,18.144583333333333,26.714416583333332,73.97926870833334,21.395666458333334,0.016666666666666666,980.79876375,7.792184454166667,209.29966833333333,156.04166666666666,5.0,134.28708333333333,5.0,182.9908333333333,5.0,142.94208333333333,153.40666666666667,5.0,142.07630952380953,5.0
Lahore,2024-09-20,5,2713.1241666666665,16.629583333333333,71.95,80.62,23.1125,141.11083333333332,172.13458333333332,22.26625,28.34566679166667,70.60240120833333,22.126916500000004,0.0,980.1871825,5.607815575,222.13513791666665,225.83333333333334,5.0,159.13916666666668,5.0,134.28708333333333,5.0,182.9908333333333,158.80569444444447,5.0,140.3154761904762,5.0
Lahore,2024-09-21,5,2573.4900000000002,11.992083333333333,69.58833333333332,85.66666666666667,21.821250000000003,137.30875,165.2075,24.745833333333334,29.199833208333335,68.31885279166667,22.395666458333334,0.0,981.1592083333334,4.911209966666667,193.64156708333334,223.58333333333334,5.0,141.11083333333332,5.0,159.13916666666668,5.0,134.28708333333333,144.84569444444443,5.0,145.565,5.0
Lahore,2024-09-22,5,3325.8991666666666,20.2175,97.31625000000001,74.35583333333334,25.5525,172.07375000000002,205.57791666666665,34.46791666666667,30.414416916666667,68.00780575,23.443583,0.0,980.4361016666667,6.668783179166667,216.37066612499999,211.875,5.0,137.30875,5.0,141.11083333333332,5.0,159.13916666666668,145.8529166666667,5.0,146.80994047619046,5.0
Lahore,2024-09-23,5,3527.0049999999997,40.25208333333333,77.39916666666666,68.77666666666667,23.94541666666667,170.04749999999999,212.18041666666667,32.235,30.941500375,64.99044541666667,23.187333125,0.0,979.9907037500001,6.550469066666667,269.803011,216.33333333333334,5.0,172.07375000000002,5.0,137.30875,5.0,141.11083333333332,150.16444444444446,5.0,152.83607142857142,5.0
Lahore,2024-09-24,5,2985.7166666666667,18.160416666666666,77.95708333333333,68.95791666666666,23.98125,175.01999999999998,214.52083333333334,37.40708333333333,30.793583458333334,65.68483691666667,23.245666541666665,0.0,978.5559016666666,5.297248808333333,156.1613635625,215.08333333333334,5.0,170.04749999999999,5.0,172.07375000000002,5.0,137.30875,159.81,5.0,156.70827380952383,5.0
Lahore,2024-09-25,5,1399.6758333333335,3.1058333333333334,26.904583333333335,92.99416666666667,13.94,142.27958333333333,160.01,22.16625,30.54775079166667,68.970666375,23.951916583333333,0.0,978.9076420833334,7.408146225,101.81450579166666,196.875,5.0,175.01999999999998,5.0,170.04749999999999,5.0,172.07375000000002,172.38041666666666,5.0,155.56958333333336,5.0
Lahore,2024-09-26,3,981.0524999999999,0.15708333333333332,20.949583333333333,53.24125,10.295833333333333,43.98833333333334,50.687916666666666,9.824166666666667,28.441499833333335,76.388674,23.772749875000002,0.008333333333333333,979.1124687500001,11.693799579166667,104.43591991666666,177.58333333333334,5.0,142.27958333333333,5.0,175.01999999999998,5.0,170.04749999999999,162.4490277777778,5.0,156.71136904761903,5.0
